n_cycles,cycle_len,variance,,RE,gamma,n_cycles,nominator,variance,RE,gamma,prob,CI lower,,CI upper,,RE,,,,,cover,,cover,quantile,,CI lower,CI upper,RE,,cover,cover,,
100000,0.83599,0.004720943,,0.005647129,19.774,100000,0.000777187,1.06E-05,0.013686339,19.774,0.00092966,0.000902682,0.000836767,0.000956638,0.001022553,0.014805605,,1.37642E-05,1.88333E-10,1.89453E-10,FALSE,1,0,19.57209461,0.040765787,19.50502595,19.63916326,0.001748341,,FALSE,0,1,1
100000,0.83921,0.004831083,,0.005756704,19.774,100000,0.000797103,1.14E-05,0.014266408,19.774,0.000949825,0.000921185,0.000856932,0.000978465,0.001042718,0.015384083,,1.46122E-05,2.14428E-10,2.13516E-10,FALSE,1,0,19.64101134,0.017685984,19.56791052,19.71411216,0.001898901,,FALSE,0,1,1
100000,0.83531,0.004666291,,0.005586299,19.774,100000,0.000826867,1.82E-05,0.02198205,19.774,0.000989892,0.000945887,0.000896999,0.001033897,0.001082785,0.022680768,,2.24515E-05,5.0531E-10,5.0407E-10,TRUE,1,1,19.74638303,0.000762697,19.67362815,19.81913791,0.00187983,,TRUE,1,0,1
100000,0.83618,0.004715658,,0.005639525,19.774,100000,0.00081022,1.73E-05,0.021377386,19.774,0.000968954,0.000926966,0.000876061,0.001010941,0.001061847,0.022108751,,2.14224E-05,4.57908E-10,4.58918E-10,TRUE,1,1,19.68702985,0.007563807,19.60938288,19.76467683,0.002012279,,FALSE,0,1,1
100000,0.83292,0.004646164,,0.005578164,19.774,100000,0.000832925,2.57E-05,0.030820078,19.774,0.001000005,0.000938616,0.000907112,0.001061395,0.001092898,0.03132081,,3.1321E-05,9.83166E-10,9.81003E-10,TRUE,1,1,19.77444944,2.01996E-07,19.70208537,19.8468135,0.001867078,,TRUE,1,0,1
100000,0.83316,0.004687051,,0.005625631,19.774,100000,0.000815793,1.58E-05,0.019418827,19.774,0.000979155,0.000940355,0.000886262,0.001017955,0.001072048,0.020217284,,1.97959E-05,3.89973E-10,3.91876E-10,TRUE,1,1,19.72748115,0.002164003,19.65181555,19.80314674,0.00195691,,TRUE,1,0,1
100000,0.82419,0.004644202,,0.005634868,19.774,100000,0.000798672,1.22E-05,0.015252853,19.774,0.000969039,0.000938155,0.000876146,0.000999923,0.001061932,0.01626042,,1.5757E-05,2.48927E-10,2.48282E-10,FALSE,1,0,19.70093957,0.005337826,19.63125808,19.77062107,0.001804573,,FALSE,0,1,1
100000,0.83166,0.004751423,,0.005713179,19.774,100000,0.00084229,2.31E-05,0.027414631,19.774,0.001012781,0.000957193,0.000919888,0.00106837,0.001105674,0.028003614,,2.83615E-05,8.04974E-10,8.04376E-10,TRUE,1,1,19.79799127,0.000575581,19.71418636,19.88179619,0.002159694,,TRUE,1,0,1
100000,0.83622,0.004736324,,0.005663968,19.774,100000,0.000806892,1.47E-05,0.018236896,19.774,0.000964928,0.000928812,0.000872035,0.001001044,0.001057821,0.019096201,,1.84265E-05,3.38895E-10,3.39534E-10,TRUE,1,1,19.66835717,0.011160408,19.59333393,19.74338042,0.001946129,,FALSE,0,1,1
100000,0.84235,0.004784597,,0.005680058,19.774,100000,0.000833168,2.03E-05,0.024362826,19.774,0.0009891,0.000940602,0.000896207,0.001037597,0.001081993,0.025016202,,2.47435E-05,6.12337E-10,6.12242E-10,TRUE,1,1,19.73954934,0.001186848,19.66248467,19.81661401,0.001991875,,TRUE,1,0,1
100000,0.83266,0.00475571,,0.005711466,19.774,100000,0.000800207,1.17E-05,0.014670731,19.774,0.000961025,0.000931371,0.000868132,0.000990679,0.001053918,0.01574329,,1.51297E-05,2.27568E-10,2.28908E-10,FALSE,1,0,19.68163543,0.008531214,19.61374942,19.74952143,0.001759799,,FALSE,0,1,1
100000,0.83941,0.004731195,,0.005636334,19.774,100000,0.000841643,1.68E-05,0.020000296,19.774,0.00100266,0.000961824,0.000909767,0.001043496,0.001095553,0.020779319,,2.08346E-05,4.325E-10,4.3408E-10,TRUE,1,1,19.78002821,3.63393E-05,19.7054311,19.85462533,0.001924151,,TRUE,1,0,1
100000,0.83978,0.004780387,,0.005692427,19.774,100000,0.000915274,7.97E-05,0.087121005,19.774,0.001089898,0.000903393,0.000997005,0.001276402,0.001182791,0.087306777,,9.51555E-05,9.0456E-09,9.05457E-09,TRUE,1,1,20.01980943,0.060422276,19.94233335,20.09728551,0.001974475,,FALSE,0,0,0
100000,0.83537,0.004725597,,0.005656891,19.774,100000,0.000812911,1.31E-05,0.016136713,19.774,0.000973115,0.000940501,0.000880222,0.001005729,0.001066008,0.01709953,,1.66398E-05,2.76218E-10,2.76883E-10,TRUE,1,1,19.69521015,0.00620784,19.62249228,19.76792802,0.001883755,,FALSE,0,1,1
100000,0.82462,0.004649238,,0.005638038,19.774,100000,0.001060317,0.000220017,0.207500905,19.774,0.001285826,0.000762685,0.001192933,0.001808966,0.001378719,0.207577487,,0.000266909,7.12402E-08,7.12402E-08,TRUE,0,1,20.62415158,0.722757709,20.52673202,20.72157114,0.002409983,,FALSE,0,0,0
100000,0.84178,0.004782287,,0.00568116,19.774,100000,0.000800974,1.32E-05,0.016474598,19.774,0.000951524,0.000919023,0.000858631,0.000984024,0.001044417,0.017426645,,1.65819E-05,2.75118E-10,2.74958E-10,FALSE,1,0,19.63827203,0.018422082,19.56259127,19.71395279,0.001966193,,FALSE,0,1,1
100000,0.84051,0.004785303,,0.005693333,19.774,100000,0.000799529,1.20E-05,0.015022095,19.774,0.000951242,0.00092129,0.000858349,0.000981194,0.001044135,0.016064787,,1.52815E-05,2.33164E-10,2.33524E-10,FALSE,1,0,19.6635154,0.012206847,19.59353253,19.73349827,0.001815827,,FALSE,0,1,1
100000,0.84164,0.004776737,,0.005675511,19.774,100000,0.000813843,1.98E-05,0.024319427,19.774,0.000966973,0.000919643,0.00087408,0.001014303,0.001059866,0.024972904,,2.41481E-05,5.83568E-10,5.83132E-10,TRUE,1,1,19.68858773,0.007295256,19.61905352,19.75812194,0.001801888,,FALSE,0,1,1
