n_cycles,cycle_len,variance,RE,gamma,n_cycles,nominator,variance,RE,gamma,prob,CI lower,CI upper,RE,cover,RE,quantile,CI lower,CI upper,cover,cover,cover
100000,0.62443,0.00373609,0.005983201,9.5247,100000,0.000607003,9.73E-06,0.016027579,9.5247,0.000972092,0.000939496,0.001004688,0.017108037,TRUE,9.493318051,9.457423485,9.529212618,0.001929099,TRUE,1,1
100000,0.62604,0.00375411,0.005996597,9.5247,100000,0.000630354,1.83E-05,0.029088774,9.5247,0.001006892,0.000948277,0.001065506,0.029700585,TRUE,9.533474318,9.49786351,9.569085126,0.001905788,TRUE,1,1
100000,0.62277,0.003764741,0.006045155,9.5247,100000,0.000593097,8.27E-06,0.013951632,9.5247,0.000952354,0.000923972,0.000980736,0.015205073,FALSE,9.465300642,9.430489529,9.500111756,0.001876409,FALSE,0,0
100000,0.62316,0.003731503,0.005988034,9.5247,100000,0.000641069,2.07E-05,0.03231394,9.5247,0.001028738,0.000962473,0.001095003,0.032864237,TRUE,9.555877999,9.519144216,9.592611781,0.001961277,TRUE,1,1
100000,0.62877,0.003776504,0.006006177,9.5247,100000,0.000597333,1.12E-05,0.018774403,9.5247,0.000950002,0.000913298,0.000986705,0.01971183,FALSE,9.462735328,9.427596333,9.497874322,0.001894596,FALSE,0,0
100000,0.62965,0.003795933,0.00602864,9.5247,100000,0.000651576,3.38E-05,0.051860837,9.5247,0.001034822,0.000928926,0.001140718,0.052210327,TRUE,9.570154442,9.534571863,9.605737021,0.001896978,FALSE,1,0
100000,0.62228,0.003742068,0.00601348,9.5247,100000,0.000638998,1.58E-05,0.024775032,9.5247,0.001026866,0.000975554,0.001078177,0.025494522,TRUE,9.55987532,9.520309172,9.599441468,0.002111619,TRUE,1,1
100000,0.61865,0.003721589,0.006015661,9.5247,100000,0.000621089,1.07E-05,0.017172039,9.5247,0.001003942,0.000968139,0.001039746,0.018195341,TRUE,9.529562783,9.493527085,9.56559848,0.001929318,TRUE,1,1
100000,0.61774,0.003721233,0.006023947,9.5247,100000,0.000608385,1.07E-05,0.017505837,9.5247,0.000984856,0.000949119,0.001020593,0.018513392,TRUE,9.50722494,9.472480398,9.541969481,0.001864562,TRUE,1,1
100000,0.62301,0.003741161,0.006004977,9.5247,100000,0.000619123,1.04E-05,0.016867091,9.5247,0.000993761,0.000958888,0.001028635,0.017904237,TRUE,9.521001182,9.485804414,9.556197951,0.001886097,TRUE,1,1
100000,0.61834,0.003687242,0.005963131,9.5247,100000,0.000611699,1.01E-05,0.016553974,9.5247,0.00098926,0.000955144,0.001023377,0.017595343,TRUE,9.512838517,9.475807088,9.549869945,0.001986114,TRUE,1,1
100000,0.62319,0.003747485,0.00601339,9.5247,100000,0.000624794,1.20E-05,0.019282569,9.5247,0.001002573,0.000962882,0.001042265,0.020198574,TRUE,9.527648789,9.489583489,9.565714089,0.002038391,TRUE,1,1
100000,0.62006,0.003687554,0.005947093,9.5247,100000,0.000610436,8.37E-06,0.013718964,9.5247,0.000984479,0.000955627,0.001013331,0.014952595,TRUE,9.517961746,9.482571532,9.553351961,0.001897069,TRUE,1,1
100000,0.62614,0.003741642,0.005975728,9.5247,100000,0.000595652,1.04E-05,0.017466282,9.5247,0.000951309,0.000916888,0.000985729,0.018460329,FALSE,9.471460664,9.437160703,9.505760625,0.001847654,FALSE,0,0
